vendor,source,quote_source,collected_at,datetime,symbol,exchange,trade_date,trade_time,phase,name,last_price,open,high,low,prev_close,volume,amount,pct_chg,pct_chg_raw,pct_chg_norm,pct_chg_source,pct_chg_unit
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T09:35:00,2026-05-25T09:35:00,600584.SH,SH,20260525,093500,continuous,600584.SH,74.8,74.0,74.84,71.02,72.88,37277788.0,2737758653.0,0.026344676180021898,0.026344676180021898,0.026344676180021898,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T09:40:00,2026-05-25T09:40:00,600584.SH,SH,20260525,094000,continuous,600584.SH,73.4,74.0,75.75,71.02,72.88,64986579.0,4805302131.0,0.007135016465422694,0.007135016465422694,0.007135016465422694,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T09:45:00,2026-05-25T09:45:00,600584.SH,SH,20260525,094500,continuous,600584.SH,76.34,74.0,76.34,71.02,72.88,83531475.0,6198230005.0,0.0474753018660814,0.0474753018660814,0.0474753018660814,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T09:50:00,2026-05-25T09:50:00,600584.SH,SH,20260525,095000,continuous,600584.SH,75.78,74.0,76.77,71.02,72.88,101859741.0,7594866892.0,0.03979143798024154,0.03979143798024154,0.03979143798024154,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T09:55:00,2026-05-25T09:55:00,600584.SH,SH,20260525,095500,continuous,600584.SH,75.44,74.0,76.77,71.02,72.88,111341041.0,8315169252.0,0.03512623490669586,0.03512623490669586,0.03512623490669586,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:00:00,2026-05-25T10:00:00,600584.SH,SH,20260525,100000,continuous,600584.SH,74.52,74.0,76.77,71.02,72.88,121074664.0,9046569732.0,0.02250274423710219,0.02250274423710219,0.02250274423710219,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:05:00,2026-05-25T10:05:00,600584.SH,SH,20260525,100500,continuous,600584.SH,76.13,74.0,76.77,71.02,72.88,127097857.0,9501887648.0,0.044593852908891396,0.044593852908891396,0.044593852908891396,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:10:00,2026-05-25T10:10:00,600584.SH,SH,20260525,101000,continuous,600584.SH,75.04,74.0,76.77,71.02,72.88,133679511.0,9996643167.0,0.029637760702524885,0.029637760702524885,0.029637760702524885,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:15:00,2026-05-25T10:15:00,600584.SH,SH,20260525,101500,continuous,600584.SH,75.68,74.0,76.77,71.02,72.88,137569860.0,10289909769.0,0.03841931942919885,0.03841931942919885,0.03841931942919885,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:20:00,2026-05-25T10:20:00,600584.SH,SH,20260525,102000,continuous,600584.SH,76.67,74.0,76.77,71.02,72.88,143937851.0,10775074367.0,0.05200329308452267,0.05200329308452267,0.05200329308452267,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:25:00,2026-05-25T10:25:00,600584.SH,SH,20260525,102500,continuous,600584.SH,76.95,74.0,77.07,71.02,72.88,150110151.0,11249741702.0,0.05584522502744238,0.05584522502744238,0.05584522502744238,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:30:00,2026-05-25T10:30:00,600584.SH,SH,20260525,103000,continuous,600584.SH,76.63,74.0,77.07,71.02,72.88,154042051.0,11552245950.0,0.051454445664105286,0.051454445664105286,0.051454445664105286,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:35:00,2026-05-25T10:35:00,600584.SH,SH,20260525,103500,continuous,600584.SH,76.1,74.0,77.07,71.02,72.88,159795451.0,11990277798.0,0.04418221734357841,0.04418221734357841,0.04418221734357841,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-25T10:40:00,2026-05-25T10:40:00,600584.SH,SH,20260525,104000,continuous,600584.SH,76.37,74.0,77.07,71.02,72.88,162206679.0,12174238090.0,0.04788693743139416,0.04788693743139416,0.04788693743139416,computed_from_prev_close,ratio
