date,precious_sector_open,precious_sector_high,precious_sector_low,precious_sector_close,precious_sector_volume,precious_sector_amount,precious_sector_close_ret1,precious_sector_close_ret5,precious_sector_close_ret20,precious_sector_close_ma20_gap,precious_sector_close_z20,precious_sector_volume_ret1,precious_sector_volume_ret5,precious_sector_volume_ret20,precious_sector_volume_ma20_gap,precious_sector_volume_z20,precious_sector_amount_ret1,precious_sector_amount_ret5,precious_sector_amount_ret20,precious_sector_amount_ma20_gap,precious_sector_amount_z20,industrial_metal_sector_open,industrial_metal_sector_high,industrial_metal_sector_low,industrial_metal_sector_close,industrial_metal_sector_volume,industrial_metal_sector_amount,industrial_metal_sector_close_ret1,industrial_metal_sector_close_ret5,industrial_metal_sector_close_ret20,industrial_metal_sector_close_ma20_gap,industrial_metal_sector_close_z20,industrial_metal_sector_volume_ret1,industrial_metal_sector_volume_ret5,industrial_metal_sector_volume_ret20,industrial_metal_sector_volume_ma20_gap,industrial_metal_sector_volume_z20,industrial_metal_sector_amount_ret1,industrial_metal_sector_amount_ret5,industrial_metal_sector_amount_ret20,industrial_metal_sector_amount_ma20_gap,industrial_metal_sector_amount_z20,minor_metal_sector_open,minor_metal_sector_high,minor_metal_sector_low,minor_metal_sector_close,minor_metal_sector_volume,minor_metal_sector_amount,minor_metal_sector_close_ret1,minor_metal_sector_close_ret5,minor_metal_sector_close_ret20,minor_metal_sector_close_ma20_gap,minor_metal_sector_close_z20,minor_metal_sector_volume_ret1,minor_metal_sector_volume_ret5,minor_metal_sector_volume_ret20,minor_metal_sector_volume_ma20_gap,minor_metal_sector_volume_z20,minor_metal_sector_amount_ret1,minor_metal_sector_amount_ret5,minor_metal_sector_amount_ret20,minor_metal_sector_amount_ma20_gap,minor_metal_sector_amount_z20
2025-01-02,2186.331,2240.413,2173.352,2201.434,482632800,6366278000.0,,,,,,,,,,,,,,,,2459.492,2499.642,2416.317,2434.186,2224219100,16059284000.0,,,,,,,,,,,,,,,,3623.621,3662.554,3530.127,3558.078,330750200,4839748600.0,,,,,,,,,,,,,,,
2025-01-03,2220.731,2274.309,2220.731,2242.286,588315380,8316219900.0,0.01855699512227016,,,,,0.21897098580950147,,,,,0.3062922951212623,,,,,2440.119,2503.777,2409.116,2412.322,2800046200,22334090000.0,-0.008982058067871557,,,,,0.25888955813750547,,,,,0.3907276314435937,,,,,3567.682,3639.162,3496.306,3502.843,401229320,5518952700.0,-0.015523830562455432,,,,,0.21308866933413806,,,,,0.1403387151142521,,,,
2025-01-06,2217.921,2263.745,2177.582,2221.741,418398380,5530636300.0,-0.009162524316701837,,,,,-0.2888195783696833,,,,,-0.33495790557438243,,,,,2409.562,2478.494,2375.403,2445.068,2349722600,18737375000.0,0.013574473059566605,,,,,-0.16082720349399948,,,,,-0.16104148411688146,,,,,3498.331,3613.004,3469.484,3557.936,390599420,5917036900.0,0.015728081446984676,,,,,-0.02649332805488891,,,,,0.0721303880716353,,,,
2025-01-07,2205.009,2254.997,2188.639,2254.288,344539640,4513776800.0,0.014649322310746449,,,,,-0.1765273087338436,,,,,-0.18385940511040288,,,,,2451.089,2504.464,2437.015,2504.464,2226039400,18161366000.0,0.0242921669254188,,,,,-0.05263736238481942,,,,,-0.030741179060567503,,,,,3556.106,3640.068,3542.204,3640.068,406864370,6483273600.0,0.023084170148085947,,,,,0.041640998852481736,,,,,0.09569598932195267,,,,
2025-01-08,2243.127,2288.926,2219.129,2255.539,345321250,4774100400.0,0.0005549424031003891,,,,,0.002268563350214192,,,,,0.05767312198511898,,,,,2499.909,2500.195,2415.802,2466.897,2414275400,18184489000.0,-0.015000015971481373,,,,,0.08456094712429629,,,,,0.001273197181313357,,,,,3639.325,3641.397,3520.295,3603.548,459623200,6431058900.0,-0.010032779607414,,,,,0.12967178718549377,,,,,-0.008053755436142618,,,,
2025-01-09,2250.508,2266.869,2243.272,2257.782,264051530,3476516300.0,0.000994440796634466,0.025596043306317595,,,,-0.23534526183951898,-0.4528935248495336,,,,-0.2717965671605901,-0.4539169825760043,,,,2452.854,2484.117,2443.094,2472.051,1734690800,13960487000.0,0.002089264367340915,0.015555508083605618,,,,-0.28148594812339967,-0.22008996325946484,,,,-0.23228598834974135,-0.13069057126083583,,,,3602.865,3694.577,3602.865,3667.471,490666370,6459986700.0,0.017738906211322902,0.030744969615618345,,,,0.06754047663390361,0.4834953085440312,,,,0.004498139489905739,0.3347773270702532,,,
2025-01-10,2266.782,2284.12,2236.031,2243.656,284903540,3680362000.0,-0.006256582787886655,0.0006109836122598633,,,,0.07896947236018659,-0.5157299134352055,,,,0.058635047964538556,-0.5574477293463584,,,,2471.229,2510.39,2435.29,2435.29,1986158500,16199555000.0,-0.01487064789520931,0.00952111699847702,,,,0.14496399012434957,-0.2906693825266169,,,,0.16038609541343374,-0.27467136561194117,,,,3670.908,3712.185,3618.884,3618.884,486958790,7007490900.0,-0.013248093849958176,0.03312766230173603,,,,-0.007556213807765166,0.21366701217149342,,,,0.08475314662799538,0.2697138897385367,,,
2025-01-13,2227.839,2308.754,2223.343,2295.411,427588820,5807019000.0,0.023067261647953252,0.033158680512265004,,,,0.5008196107356195,0.021965763825376294,,,,0.5778390821337684,0.04997303836450073,,,,2407.273,2499.516,2401.56,2489.252,2297380700,19610934000.0,0.02215834664454741,0.01807066306540328,,,,0.15669555073273367,-0.022275778425929982,,,,0.21058473519797305,0.04662120494466282,,,,3569.34,3679.069,3567.606,3642.594,423438860,6204129800.0,0.006551743576196367,0.023794132328406103,,,,-0.13044210578886972,0.08407447199998397,,,,-0.11464318847706245,0.04851970755835566,,,
2025-01-14,2273.308,2314.171,2263.07,2314.171,398726930,5232197400.0,0.008172828308307123,0.02656404150667524,,,,-0.06749916894459496,0.1572744721042838,,,,-0.0989873806164574,0.15916174676603423,,,,2488.737,2549.183,2482.566,2548.898,2474123500,19858066000.0,0.0239614149150027,0.01774192002759878,,,,0.07693230817164953,0.1114464101578796,,,,0.012601745536443998,0.09342358939300044,,,,3643.953,3777.456,3627.256,3777.357,583470410,8752476300.0,0.036996437154401374,0.0377160536561405,,,,0.37793307397436315,0.43406612380435283,,,,0.41075002976243336,0.35000878260019763,,,
2025-01-15,2307.908,2312.016,2261.038,2303.659,342034340,4433199700.0,-0.004542447381805315,0.02133414673831835,,,,-0.14218400046367574,-0.009518412203129656,,,,-0.15270786610612208,-0.07140626954556717,,,,2542.425,2550.328,2500.714,2516.7,2152125400,18648518000.0,-0.012632125726490528,0.020188520234124097,,,,-0.13014633263052555,-0.10858330412512174,,,,-0.060909657566854736,0.025517846555930257,,,,3767.079,3794.297,3709.065,3733.663,436775250,6521212300.0,-0.011567347221880242,0.03610746963825662,,,,-0.25141833670708336,-0.049710175639523846,,,,-0.2549294535079175,0.014018437927850513,,,
