stock_code,artifact_name,artifact_dir,requires_price_snapshot,requires_intraday_bars,requires_bid_ask,requires_realtime_fund_flow,uses_historical_context,requires_realtime_context,required_context_features,required_raw_fields,required_derived_features,unsupported_realtime_features
002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,/root/stock_realtime_v021_full/saved_models/002270.SZ/nextday_all_days_close_profit_extra_trees_all_no_ak_v1,True,True,False,False,True,True,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20","amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,low,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct,volume",
002311.SZ,nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,/root/stock_realtime_v021_full/saved_models/002311.SZ/nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,True,True,False,False,True,True,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20","amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
002311.SZ,nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,/root/stock_realtime_v021_full/saved_models/002311.SZ/nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,True,True,False,False,True,False,,"amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,/root/stock_realtime_v021_full/saved_models/002311.SZ/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,True,True,False,False,True,True,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20","amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
002311.SZ,nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,/root/stock_realtime_v021_full/saved_models/002311.SZ/nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,True,True,False,False,True,False,,"amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,/root/stock_realtime_v021_full/saved_models/002714.SZ/nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,True,True,False,False,True,True,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20","amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,/root/stock_realtime_v021_full/saved_models/600096.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,True,True,False,False,True,True,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20","amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
600096.SH,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,/root/stock_realtime_v021_full/saved_models/600096.SH/nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,True,True,False,False,True,False,,"amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,/root/stock_realtime_v021_full/saved_models/600096.SH/nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,True,True,False,False,True,True,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20","amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,/root/stock_realtime_v021_full/saved_models/600276.SH/nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,True,True,False,False,True,True,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20","amount,close,high,low,open,volume","afternoon_ret,afternoon_vwap,afternoon_vwap_to_close,bar_count,close_range_pos,close_to_low,close_to_vwap,down_day_below_vwap,first60_last30_reversal,first_30m_ret,first_60m_ret,first_60m_volume_share,high_to_close,intraday_ret,last_30m_ret,last_30m_volume_share,last_30m_vwap,last_30m_vwap_to_close,last_60m_ret,morning_afternoon_reversal,morning_ret,morning_vwap,morning_vwap_to_close,open_to_vwap,overnight_intraday_reversal,overnight_plus_intraday,range_pct",
